sciper;labAcronyme;siteUrl;doublon;clusters;idSite
177246;UPKIN;https://www.epfl.ch/labs/mckinney-lab;;Bioimaging|Biophysics|Infection|Microbiology;FYdZQCw8JQNJGF2Mv
177957;DIAS;https://www.epfl.ch/labs/dias;;Computer architecture and integrated systems|Data management|Information retrieval|Systems;SmQF6i7CrTWMazGdZ
177958;PARSA;https://parsa.epfl.ch;;Computer architecture and integrated systems|Systems;4nkRceaHGJucqCBWW
178220;LIMNO;https://www.epfl.ch/labs/limno;;Chemical engineering|Renewable energy|Nanosciences;PEpPDyQYCQK9EY2Zh
178464;LCMD;https://www.epfl.ch/labs/lcmd;;Computational chemistry;TzDHL9NpkxuZaWowA
178545;TAN;https://www.epfl.ch/labs/tan;;Algebra and number theory|Mathematical analysis;Re6WYLKSsdaZLewpi
178546;UPLEM;https://www.epfl.ch/labs/lemaitrelab;;Development|Drosophila|Genetics|Immunity|Infection|Molecular and celluar biology;EKeeN9jZJCutbc37M
178548;LSME;https://www.epfl.ch/labs/lsme;;Microscopy spectromicroscopy and imaging|Nanosciences;NExtAZHYHtaya3ZyN
178549;LSMS;https://www.epfl.ch/labs/lsms;;Future of computing;YZWpsuEbCu6aiEaa8
178549;LSM;https://lsm.epfl.ch;;Future of computing;D3T24wamtvW3bScPi
180534;LAPIS;https://www.epfl.ch/labs/lapis;;Art and expression;cxQw9FaNnK2Zmv379
180565;SMAT;https://www.epfl.ch/labs/smat;;Probability and stochastics|Statistics;HpmaHG9e3rJvFRZeZ
181278;LSCI;https://www.epfl.ch/labs/lsci;;Inorganic chemistry|Organic chemistry|Renewable energy;SESMEYQMA9CFjBHsu
